Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER SHOULD BE ABLE TO VIEW COURSE DETAILS,UN-12,10087,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:01 PM,01/Apr/26 12:21 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f58d17,,,,,,,,,,,,,,,,0|i0004v:,,,UN Sprint 1,,,,,,,,,,,,10082,UN-7,COURSE MANAGEMENT,To Do,01/Apr/26 12:01 PM
USER SHOULD BE ABLE TO PREVIEW THE VIDEOS,UN-13,10088,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:01 PM,01/Apr/26 12:21 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5cf5bd98,,,,,,,,,,,,,,,,0|i00053:,,,UN Sprint 1,,,,,,,,,,,,10082,UN-7,COURSE MANAGEMENT,To Do,01/Apr/26 12:01 PM
USER SHOULD BE ABLE TO ENROLL THE TO COURSE,UN-14,10089,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:02 PM,01/Apr/26 12:21 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@57be492,,,,,,,,,,,,,,,,0|i0005b:,,,UN Sprint 1,,,,,,,,,,,,10082,UN-7,COURSE MANAGEMENT,To Do,01/Apr/26 12:02 PM
USER SHOULD BE ABLE TO SEE THE ENROLLED COURSES,UN-15,10090,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:02 PM,01/Apr/26 12:22 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7fda048,,,,,,,,,,,,,,,,0|i0005j:,,,UN Sprint 1,,,,,,,,,,,,10082,UN-7,COURSE MANAGEMENT,To Do,01/Apr/26 12:02 PM
USER SHOULD BE ABLE TO RESUME FROM LAST WATCHED LECTURE,UN-16,10091,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:03 PM,01/Apr/26 12:22 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74841f88,,,,,,,,,,,,,,,,0|i0005r:,,,UN Sprint 1,,,,,,,,,,,,10082,UN-7,COURSE MANAGEMENT,To Do,01/Apr/26 12:03 PM
USER SHOULD BE ABLE TO PLAYBACK THE VIDEOS,UN-17,10092,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:07 PM,01/Apr/26 12:22 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5122a9f,,,,,,,,,,,,,,,,0|i0005z:,,,UN Sprint 1,,,,,,,,,,,,10083,UN-8,VIDEO AND RATING MENAGEMENT,To Do,01/Apr/26 12:07 PM
USER SHOULD BE ABLE TO ADD REVIEW AND VIEW REVIEWS,UN-18,10093,Story,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,01/Apr/26 12:14 PM,01/Apr/26 12:22 PM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51be177f,,,,,,,,,,,,,,,,0|i00067:,,,UN Sprint 1,,,,,,,,,,,,10083,UN-8,VIDEO AND RATING MENAGEMENT,To Do,01/Apr/26 12:14 PM
WRITE FUNCTIONALITY TEST CASES FOR HOME PAGE MODULE,UN-38,10160,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:53 AM,02/Apr/26 9:53 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3720d39b,,,,,,,,,,,,,,,,0|i000af:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 9:53 AM
WRITE FUNCTIONALITY  TEST CASE FOR HEADER MODULE,UN-39,10161,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:53 AM,02/Apr/26 9:53 AM,02/Apr/26 9:53 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41c74794,,,,,,,,,,,,,,,,0|i000an:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 9:53 AM
WRITE TEST CASES FOR SEARCH BAR TEXTFIELD,UN-40,10163,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:54 AM,02/Apr/26 9:54 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b19259e,,,,,,,,,,,,,,,,0|i000av:,,,UN Sprint 1,,,,,,,,,,,,10161,UN-39,WRITE FUNCTIONALITY  TEST CASE FOR HEADER MODULE,To Do,02/Apr/26 9:54 AM
WRITE TEST CASES FOR USER PROFILE ICON,UN-41,10165,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:54 AM,02/Apr/26 9:54 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5200eed1,,,,,,,,,,,,,,,,0|i000b3:,,,UN Sprint 1,,,,,,,,,,,,10161,UN-39,WRITE FUNCTIONALITY  TEST CASE FOR HEADER MODULE,To Do,02/Apr/26 9:54 AM
WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,UN-42,10166,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:55 AM,02/Apr/26 9:55 AM,02/Apr/26 9:55 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@494516ed,,,,,,,,,,,,,,,,0|i000bb:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 9:55 AM
WRITE TEST CASES FOR FULL NAME TEXT FIELD,UN-43,10168,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5f4fd295,,,,,,,,,,,,,,,,0|i000bj:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR EMAIL TEXT FIELD,UN-44,10170,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ec1fca5,,,,,,,,,,,,,,,,0|i000br:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR MOBILE NUMBER TEXT FIELD,UN-45,10172,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1ce60f72,,,,,,,,,,,,,,,,0|i000bz:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR CURRENT PASSSWORD TEXTFIELD,UN-46,10174,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ea8d5e6,,,,,,,,,,,,,,,,0|i000c7:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR NEW PASSWORD TEXT FIELD,UN-47,10176,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f3b4c92,,,,,,,,,,,,,,,,0|i000cf:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR CONFIRM PASSWORD TEXT FIELD,UN-48,10178,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:56 AM,02/Apr/26 9:56 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@633c32fc,,,,,,,,,,,,,,,,0|i000cn:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:56 AM
WRITE TEST CASES FOR UPDATE BUTTON,UN-49,10180,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:57 AM,02/Apr/26 9:57 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6299cede,,,,,,,,,,,,,,,,0|i000cv:,,,UN Sprint 1,,,,,,,,,,,,10166,UN-42,WRITE FUNCTIONALITY  TEST CASE FOR PROFILE MANGEMENT MODULE,To Do,02/Apr/26 9:57 AM
WRITE INTERGRATION TEST CASE FOR HOME PAGE MODULE,UN-50,10181,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,High,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:58 AM,02/Apr/26 9:58 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37684b73,,,,,,,,,,,,,,,,0|i000d3:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 9:58 AM
WRITE  SYSTEM TEST CASES FOR HOME PAGE MODULE,UN-51,10182,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 9:59 AM,02/Apr/26 9:59 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31fa150c,,,,,,,,,,,,,,,,0|i000db:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 9:59 AM
WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,UN-52,10183,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:10 AM,02/Apr/26 10:10 AM,02/Apr/26 10:18 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1056ad81,,,,,,,,,,,,,,,,0|i000dj:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:10 AM
WRITE TEST CASES FOR COURSE THUMBNAIL,UN-54,10186,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:18 AM,02/Apr/26 10:18 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@455931e9,,,,,,,,,,,,,,,,0|i000dz:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:18 AM
WRITE TEST CASES FOR COURSE TITLE,UN-55,10188,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@28cb49a9,,,,,,,,,,,,,,,,0|i000e7:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:19 AM
WRITE TEST CASES FOR INSTRUCTOR NAME FIELD,UN-56,10190,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71b11442,,,,,,,,,,,,,,,,0|i000ef:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:19 AM
WRITE TEST CASES FOR PRICE FIELD,UN-57,10192,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:19 AM,02/Apr/26 10:19 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2e0131ae,,,,,,,,,,,,,,,,0|i000en:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:19 AM
WRITE TEST CASES FOR RATING STAR,UN-58,10194,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:21 AM,02/Apr/26 10:21 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7c11f37b,,,,,,,,,,,,,,,,0|i000ev:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:21 AM
WRITE TEST CASES FOR ENROLL BUTTON,UN-59,10196,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:21 AM,02/Apr/26 10:21 AM,,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7615c452,,,,,,,,,,,,,,,,0|i000f3:,,,UN Sprint 1,,,,,,,,,,,,10183,UN-52,WRITE FUNCTIONALITY  TEST CASE FOR COURSE LISTING MODULE,To Do,02/Apr/26 10:21 AM
WRITE INTEGRATION TEST CASE FOR COURSE LISTING MODULE,UN-53,10184,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:12 AM,02/Apr/26 10:24 AM,02/Apr/26 10:23 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6046a666,,,,,,,,,,,,,,,,0|i000dr:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:12 AM
WRITE FUNCTIONALITY  TEST CASE FOR COURSE DETAIL PAGE ,UN-60,10197,Task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:26 AM,02/Apr/26 10:26 AM,02/Apr/26 10:28 AM,,,0,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@68e27f31,,,,,,,,,,,,,,,,0|i000fb:,,,UN Sprint 1,,,,,,,,,,,,,,,To Do,02/Apr/26 10:26 AM
WRITE TEST CASES FOR COURSE TITLE FIELD,UN-61,10199,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:29 AM,02/Apr/26 10:29 AM,,,,0,Create and document test cases to verify the correct display and functionality of the course title on the course detail page.,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@416a592f,,,,,,,,,,,,,,,,0|i000fj:,,,UN Sprint 1,,,,,,,,,,,,10197,UN-60,WRITE FUNCTIONALITY  TEST CASE FOR COURSE DETAIL PAGE ,To Do,02/Apr/26 10:29 AM
WRITE TEST CASES FOR COURSE DESCRIPTION SECTION,UN-62,10201,Sub-task,To Do,UN,Unacademy,software,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,Medium,,,,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,02/Apr/26 10:29 AM,02/Apr/26 10:29 AM,,,,0,"Write test cases to validate the presence, formatting, and completeness of the course description on the detail page.",,Hardik Raj,712020:1d91508b-f8d9-4b1d-ae93-ede592b880f5,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@29e318a,,,,,,,,,,,,,,,,0|i000fr:,,,UN Sprint 1,,,,,,,,,,,,10197,UN-60,WRITE FUNCTIONALITY  TEST CASE FOR COURSE DETAIL PAGE ,To Do,02/Apr/26 10:29 AM
